zone,state,city,name,type,establishment_year,time_needed_to_visit_in_hrs,rating,entrance_fee,airport_with_50km_radius,weekly_off,significance,DSLR_allowed,number_of_google_review_in_lakhs,best_time_to_visit,latitude,longitude
Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,None,Historical,Yes,2.6,Evening,28.612912,77.2295097
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2,4.5,30,Yes,None,Historical,Yes,0.4,Afternoon,28.5932848,77.2507492
Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5,4.6,60,Yes,None,Religious,No,0.4,Afternoon,28.6126735,77.2772619
Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,28.5926939,77.25697149999999
Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2,4.2,15,Yes,None,Scientific,Yes,0.31,Morning,28.6270547,77.21662669999999
Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,28.6505331,77.23033699999999
Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,28.553492,77.25882639999999
Northern,Delhi,Delhi,Red Fort,Fort,1648,2,4.5,35,Yes,None,Historical,Yes,1.5,Afternoon,28.6561592,77.2410203
Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1,4.2,0,Yes,None,Historical,Yes,0.41,Afternoon,28.626062,77.22503689999999
Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2,4.6,0,Yes,None,Botanical,Yes,0.16,Afternoon,28.5956467,77.2451691
Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2,4.1,35,Yes,None,Botanical,Yes,0.23,Morning,28.513403,77.1975227
Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1,4.5,0,Yes,None,Botanical,Yes,0.48,All,28.5936814,77.2218338
Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,28.6101926,77.2344179
Northern,Delhi,Delhi,National Zoological Park,Zoo,1959,3,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,28.606740300000002,77.2673761588751
Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1,4.5,35,Yes,None,Historical,Yes,1.37,Afternoon,28.5244946,77.18551769999999
Northern,Delhi,Delhi,National Science Centre,Science,1992,5,4.4,70,Yes,None,Scientific,Yes,0.23,All,28.6127836,77.2455584
Western,Maharastra,Mumbai,Marine Drive,Promenade,None,2,4.5,0,Yes,None,Scenic,Yes,1.5,Evening,18.9432111,72.8229983
Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1,4.6,0,Yes,None,Historical,Yes,3.6,All,18.9219841,72.8346543
Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1,4.6,500,Yes,None,Historical,Yes,0.34,All,18.9269015,72.83269159999999
Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,19.2204535,72.9128422
Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2,4.8,0,Yes,None,Religious,No,1.05,All,19.01699,72.8303997
Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1,4.7,0,Yes,None,Religious,No,0.33,All,17.37236547622187,78.46874293076753
Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2,4.4,0,Yes,None,Religious,No,0.16,All,18.9828273,72.8088966
Western,Maharastra,Mumbai,Chowpatty Beach,Beach,None,2,4.3,0,Yes,None,Recreational,Yes,0.05,Evening,18.9518622,72.8165592
Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5,4.3,1149,Yes,None,Recreational,Yes,0.27,All,19.230098,72.8013252
Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4,4.3,550,Yes,None,Historical,Yes,0.35,All,18.9633474,72.9314864
Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5,1.4,1149,No,Monday,Recreational,Yes,0.95,All,18.7679396,73.28232059999999
Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,13.0035068,77.5890953
Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,None,Nature,Yes,1.5,Evening,12.9494158,77.58468049999999
Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1,4.4,0,Yes,None,Nature,Yes,1.32,Morning,12.9779291,77.5951549
Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,Yes,None,Architectural,No,0.8,Morning,12.9796121,77.5908462
Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1,4.6,0,Yes,None,Religious,Yes,1.14,Evening,13.0098328,77.55109639999999
Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning,17.3615636,78.4746645
Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2,4.4,30,Yes,None,Historical,Yes,1.2,Morning,17.383309,78.4010528
Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1,4.3,0,Yes,None,Scenic,Yes,0.5,Evening,17.4238798,78.4738215
Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4,4.4,1150,Yes,None,Entertainment,Yes,0.45,All,17.26412703813497,78.6818131660201
Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2,4.4,20,Yes,None,Historical,Yes,0.67,All,17.3716084,78.48024389999999
Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1,4.4,25,Yes,None,Historical,Yes,0.2,Morning,17.3973706,78.4001141
Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1,4.7,0,Yes,None,Religious,No,0.41,All,22.530353299486784,88.36403546996553
Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,Yes,None,Historical,Yes,0.45,Morning,17.3578233,78.4716897
Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3,4.2,50,Yes,None,Wildlife,Yes,0.86,Morning,17.3483047,78.4425108
Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1,4.1,20,Yes,None,Recreational,Yes,0.73,Evening,17.4096811,78.4724344
Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,22.5448082,88.3425578
Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,None,Architectural,No,1.2,All,22.5851433,88.34680050000001
Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,22.5578858,88.3511268
Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1,4.7,0,Yes,None,Religious,Yes,0.82,Morning,22.6549087,88.3575307
Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1,4.4,0,Yes,None,Religious,Yes,0.5,Morning,22.5202798,88.3420877
Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3,4.1,2500,Yes,None,Sports,Yes,0.1,All,22.5646081,88.34326449999999
Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2,4.3,25,Yes,None,Wildlife,Yes,0.66,Afternoon,22.5370343,88.33166969999999
Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3,4.4,60,Yes,None,Educational,Yes,0.88,All,22.5401381,88.39605639999999
Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,None,Religious,Yes,0.47,Morning,22.6326565,88.3563815
Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1,4.4,0,Yes,None,Historical,Yes,0.1,Afternoon,22.582157160724925,88.36017616619054
Southern,Goa,Goa,Calangute Beach,Beach,None,2,4.4,0,Yes,None,Scenic,Yes,0.26,Evening,15.549441,73.7534857
Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1,4.5,0,Yes,None,Historical,Yes,0.59,Afternoon,15.5008238,73.9114061
Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,None,Historical,Yes,0.95,Morning,15.4922519,73.77374619999999
Southern,Goa,Goa,Dudhsagar Falls,Waterfall,None,3,4.6,500,Yes,None,Nature,Yes,0.3,Afternoon,15.3144375,74.3143073
Southern,Goa,Goa,Anjuna Beach,Beach,None,2,4.4,0,Yes,None,Scenic,Yes,0.18,Evening,15.5733497,73.74097809999999
Southern,Goa,Goa,Chapora Fort,Fort,1617,1,4.2,0,Yes,None,Historical,Yes,0.19,Evening,15.6046375,73.7369631
Southern,Goa,Goa,Se Cathedral,Church,1640,1,4.5,0,Yes,None,Historical,Yes,0.05,Afternoon,15.5038769,73.9121918
Southern,Goa,Goa,Baga Beach,Beach,None,2,4.5,0,Yes,None,Scenic,Yes,0.35,Evening,15.5552787,73.7517307
Southern,Goa,Goa,Arambol Beach,Beach,None,2,4.6,0,Yes,None,Scenic,Yes,0.1,Evening,15.6846886,73.70328359999999
Southern,Goa,Goa,Palolem Beach,Beach,None,2,4.6,0,Yes,None,Scenic,Yes,0.27,Evening,15.0099648,74.02321859999999
Southern,Goa,Goa,Colva Beach,Beach,None,2,4.3,0,Yes,None,Scenic,Yes,0.1,Evening,15.2805316,73.91199449999999
Southern,Goa,Goa,Miramar Beach,Beach,None,1.5,4.2,0,Yes,None,Scenic,Yes,0.3,Evening,15.483004516665268,73.80713786022933
Southern,Goa,Goa,Aguada Beach,Beach,None,2,4.5,0,Yes,None,Scenic,Yes,0.01,Evening,15.491517993062677,73.76806588621562
Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2,3.9,10,Yes,None,Wildlife,Yes,0.03,Afternoon,10.1335031,76.6860267
Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,None,Historical,Yes,0.35,Morning,23.0358621,72.5701089
Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2,4.7,0,No,None,Religious,No,0.59,Evening,22.2371082,68.9676255
Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3,4.5,3500,No,None,Wildlife,Yes,0.08,Morning,21.0842848,70.7944414
Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,Yes,None,Nature,Yes,0.12,Evening,24.62382186838991,73.73618586685149
Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2,4.4,200,Yes,Monday,Historical,Yes,0.17,Afternoon,22.2935993,73.19190739999999
Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2,4.8,0,No,None,Religious,No,0.39,Morning,20.8879899,70.40125689999999
Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,None,3,4.9,7500,Yes,None,Cultural,Yes,0.1,Evening,23.8063981,69.5125024
Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3,4.6,350,No,Monday,Historical,Yes,0.67,All,21.8380184,73.71907279999999
Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,No,None,Historical,Yes,0.05,All,23.2328758,72.63119379999999
Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1,4.6,0,Yes,None,Recreational,Yes,0.1,Evening,23.0234539,72.57664079999999
Western,Gujarat,Ahmedabad,Manek Chowk,Market,None,2,4.4,0,Yes,None,Food,Yes,0.49,Night,23.0231887,72.5879093
Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3,4.5,10,Yes,None,Recreational,Yes,0.3,Afternoon,23.0062573,72.60255029999999
Western,Gujarat,Ahmedabad,Science City,Science,2002,7,4.4,500,Yes,Monday,Educational,Yes,0.11,All,23.0714235,72.5167854
Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1,4.4,50,Yes,None,Architectural,Yes,1.3,Morning,26.9240458,75.8267144
Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2,4.4,300,Yes,None,Historical,Yes,0.51,All,24.576412807470962,73.68351089510162
Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,No,None,Historical,Yes,0.56,All,26.9124555,70.9126093
Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3,4.6,500,No,None,Wildlife,Yes,0.09,All,25.9775867,76.5532869
Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,No,None,Religious,Yes,1.6,All,26.4871515,74.55401770000002
Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1,4.6,0,Yes,None,Religious,No,0.35,All,26.4561204,74.62818469999999
Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2,4.6,100,Yes,None,Historical,Yes,0.64,All,26.2978267,73.0180132
Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2,4.6,40,No,None,Historical,Yes,1.9,All,24.8839686,74.6473548
Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1,4.6,0,No,None,Religious,No,0.05,All,24.609382,72.7229797
Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2,4.5,50,Yes,None,Historical,Yes,0.32,All,28.0219586,73.3179962
Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2,4.6,100,Yes,None,Historical,Yes,1.5,All,26.9854865,75.8513454
Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,Yes,None,Historical,Yes,0.3,All,26.9816052,75.8447917
Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1,4.6,0,Yes,None,Nature,Yes,0.5,All,24.572,73.679
